"","x"
"661",4507.36279296875
"662",4590.3662109375
"663",40637.9921875
"664",5111.16259765625
"665",49661.23046875
"666",207586.71875
"667",12187.2958984375
"668",9786.93359375
"669",29288.236328125
"670",18829.6640625
"671",8472.0791015625
"672",48059.29296875
"673",35991.140625
"674",86944.34375
"675",12697.939453125
"676",5178.26123046875
"677",29729.140625
"678",26694.8984375
"679",11274.8583984375
"680",122899.6015625
"681",13474.708984375
"682",30469.125
"683",17662.490234375
"684",192991.0625
"685",40365.41796875
"686",17881.2890625
"687",23596.525390625
"688",12224.3671875
"689",45287.71875
"690",9886.1787109375
"691",37800.55859375
"692",62092.12890625
"693",918.601257324219
"694",2929.1337890625
"695",47329.5234375
"696",318.648132324219
"697",72322.90625
"698",1819.98315429688
"699",15752.283203125
"700",13762.18359375
"701",17953.228515625
"702",38843.33984375
"703",9445.7314453125
"704",480.069488525391
"705",20400.67578125
"706",14394.5625
"707",30.9761562347412
"708",1928.24291992188
"709",4996.0322265625
"710",4706.84814453125
"711",4563.19384765625
"712",34053.0546875
"713",16943.419921875
"714",2718.98559570312
"715",5578.41748046875
"716",1863.83605957031
"717",19104.65234375
"718",17878.70703125
"719",11604.6328125
"720",15107.3193359375
"721",13056.4736328125
"722",0
"723",13161.5048828125
"724",8629.8056640625
"725",4402.93310546875
"726",2986.27758789062
"727",0
"728",1583.07507324219
"729",30978.751953125
"730",54727.86328125
"731",0.909762263298035
"732",61989.8203125
"733",0
"734",12219.3115234375
"735",34086.40625
"736",16313.3740234375
"737",55247.65625
"738",3439.51220703125
"739",11.0199480056763
"740",100398.6015625
"741",75552.0625
"742",76322.984375
"743",12672.384765625
"744",7536.9443359375
"745",4506.2021484375
"746",9237.0810546875
"747",6554.1689453125
"748",17344.880859375
"749",35451.78125
"750",1649.83410644531
"751",24012.849609375
"752",10712.5859375
"753",40119.2578125
"754",70560.8671875
"755",10574.94921875
"756",755.41357421875
"757",139.292907714844
"758",7785.390625
"759",30677.076171875
